Interval;Group;LongProb;MotorVar;AttentionVar
0,4;Group1;0,02;No;No
0,6;Group1;0,06;No;No
0,8;Group1;0,32;No;No
1;Group1;0,58;No;No
1,2;Group1;0,90;No;No
1,4;Group1;0,97;No;No
1,6;Group1;0,99;No;No
0,4;Group2;0,04;Easy;On task
0,6;Group2;0,11;Easy;On task
0,8;Group2;0,28;Easy;On task
1;Group2;0,50;Easy;On task
1,2;Group2;0,75;Easy;On task
1,4;Group2;0,88;Easy;On task
1,6;Group2;0,89;Easy;On task
0,4;Group3;0,05;Hard;On task
0,6;Group3;0,19;Hard;On task
0,8;Group3;0,35;Hard;On task
1;Group3;0,57;Hard;On task
1,2;Group3;0,74;Hard;On task
1,4;Group3;0,87;Hard;On task
1,6;Group3;0,91;Hard;On task
0,4;Group4;0,03;Easy;On time
0,6;Group4;0,08;Easy;On time
0,8;Group4;0,28;Easy;On time
1;Group4;0,54;Easy;On time
1,2;Group4;0,74;Easy;On time
1,4;Group4;0,88;Easy;On time
1,6;Group4;0,91;Easy;On time
0,4;Group5;0,03;Hard;On time
0,6;Group5;0,13;Hard;On time
0,8;Group5;0,35;Hard;On time
1;Group5;0,74;Hard;On time
1,2;Group5;0,91;Hard;On time
1,4;Group5;0,94;Hard;On time
1,6;Group5;0,97;Hard;On time
